State,Species,Occurrences
Wisconsin,8,95
Vermont,10,181
New Jersey,11,135
Georgia,12,250
Colorado,22,3454
South Carolina,9,210
Oklahoma,20,2763
Indiana,16,603
District of Columbia,1,1
Arizona,35,5553
Nevada,24,1543
Rhode Island,6,86
Washington,24,1398
Louisiana,9,1369
Illinois,14,566
Alabama,12,842
Ohio,9,161
Virginia,9,516
Idaho,14,470
Nebraska,13,383
Kansas,16,2134
Delaware,3,6
Montana,16,791
Maryland,4,62
New Mexico,38,12762
Kentucky,13,1125
South Dakota,14,807
Minnesota,8,147
New Hampshire,7,112
Michigan,11,1840
Arkansas,14,1132
West Virginia,11,420
Maine,10,130
Texas,36,11480
Connecticut,8,112
Pennsylvania,11,432
New York,14,216
Iowa,10,432
Florida,16,1335
Missouri,16,1292
Tennessee,17,1405
Wyoming,22,1057
North Dakota,9,116
North Carolina,15,310
Utah,22,2826
Mississippi,7,32
Massachusetts,9,464
California,37,15202
Oregon,18,1952
